,osmanlica,turkce
5301,برناك,Bernâk
5302,برنامه,Bernâme
5303,برنامج,Bernâmec
5304,برنج,Birinc
5305,برنس,Burnus
5306,برنوس,Burnûs
5307,برنی,Bernî
5308,برنيه,Berniye
5309,برنيق,Bernik
5310,بر,Burû
5311,بروات,Berevât
5312,برواق,Bervâk
5313,بروج,Burûc
5314,برود,Burûd
5315,برودة,Burûde
5316,بروز,Burûz
5317,بروفرود,BerüFurûd
5318,بروت,Burût
5319,برومند,Burûmend
5320,برومندی,Burûmendî
5321,بره,Berh
5322,بره,Berah
5323,برون,Burûn
5324,برهان,Burhân
5325,برهانی,Burhânî
5326,بره,Bere
5327,برهفلك,Bere    iFelek
5328,برهه,Burhe
5329,برهم,Berhem
5330,برهمدرهم,Berhemderhem
5331,برهمزده,Berhemzede
5332,برهمزن,Berhemzen
5333,برهمه,Berheme
5334,برهنه,Berhene
5335,برهمن,Berehmen
5336,برهنه,Burehne
5337,برهنهثا,Burehnepâ
5338,برهنهسر,Bürehneser
5339,برهن,Berhen
5340,بری,Bery
5341,بریٔ,Berî
5342,بری,Berrî
5343,بريت,Birrit
5344,بريات,Berriyyât
5345,بريان,Biryân
5346,بريه,Beriyye
5347,برتيه نشين,Berriyenişîn
5348,بريد,Berîd
5349,بريده,Burîde
5350,بريشم,Berîşem
5351,بريص,Berîs
5352,بريعه,Berî'a
5353,بريق,Berîk
5354,برين,Berîn
5355,بز,Bezz
5356,بز,Buz
5357,بز,Bizz
5358,بزاز,Bezzâz
5359,بزبزه,Bezbeze
5360,بزازستان,Bezzâristân
5361,بزباز,Bezbâz
5362,بزر,Bezr
5363,بزاق,Buzâk
5364,بزال,Bizâl
5365,بزرج,Buzurc
5366,بزرك,Buzrug
5367,بزركان,Buzrugân
5368,بزركانه,Buzrugâne
5369,بزركوار,Buzrugvâr
5370,بزركور,Buzrugvârî
5371,بزستان,Bezzestân
5372,بزغ,Bezğ
5373,بزغاله,Buzğâle
5374,بزق,Bezk
5375,بزل,Bezl
5376,بزم,Bezm
5377,بژم,Bejm
5378,بزمكاه,Bezimgâh
5379,بزمكه,Bezimge
5380,بزور,Buzûr
5381,بزوغ,Buzûğ
5382,بزول,Buzûl
5383,بزه,Beze
5384,بس,Bes
5385,بس,Bess
5386,بساتين,Besâtîn
5387,بساط,Besât
5388,بساط,Bisât
5389,بساطة,Besâta
5390,بسالة,Besâle
5391,بسام,Bessâm
5392,بسامة,Besâme
5393,بسائط,Besâit
5394,بسباسه,Besbâse
5395,بسامان,Besâmân
5396,بسان,Besân
5397,بست,Best
5398,بستان,Bistân
5399,بستان,Bostân
5400,بستانافروز,Bostânefrûz
5401,بستانييرا,Bostânpîrâ
5402,بستانسرای,Bostânsarây
5403,بستانی,Bostânî
5404,بستر,Bister
5405,بستكی,Bestegî
5406,بسته,Beste
5407,بستهنكار,Bestenigâr
5408,بستهرحم,Besterahim
5409,بسط,Bast
5410,بسطة,Besta
5411,بسفايج,Besfâyic
5412,بسق,Besk
5413,بسل,Besl
5414,بسم,Besm
5415,بسم,Bismi
5416,بسمل,Bismil
5417,بسمله,Besmele
5418,بسملكاه,Bismilgâh
5419,بسوق,Busûk
5420,بسول,Busûl
5421,بسی,Besî
5422,بسيار,Büsyâr
5423,بسياری,Büsyârî
5424,بسيج,Besîc
5425,بسيط,Basît
5426,بسيطه,Basîta
5427,بسيله,Besîle
5428,بسيم,Besîm
5429,بشن,Beşş
5430,بشارة,Beşâra
5431,بشاشة,Beşâşe
5432,بشر,Bişir
5433,بشر,Beşer
5434,بشره,Beşere
5435,بشرهمخاطيه,Beşere    iMuhâtiyye
5436,بشری,Beşerî
5437,بشرای,Büşrâ
5438,بشريت,Beşeriyyet
5439,بشماق,Beşmâk
5440,بشم,Beşm
5441,بشير,Beşîr
5442,بشيری,Beşîrî
5443,بشيع,Beşî'
5444,بص,Bas
5445,بصارة,Besâre
5446,بصائر,Besâir
5447,بصر,Basar
5448,بصل,Basal
5449,بصله,Basale
5450,بصلهٔسيسائيه,Basale    iSîsâiyye
5451,بصير,Basîr
5452,بصيرة,Basîre
5453,بضاعه,Bidâ'a
5454,بضايع,Badayi'
5455,بضع,Bad'
5456,بضع,Bid'
5457,بضيع,Badî'
5458,بط,Batt
5459,بطء,But
5460,بطاء,Bitâ
5461,بطائة,Betâe
5462,بطاح,Butâh
5463,بطاقه,Bitâka
5464,بطال,Battâl
5465,بطالة,Batâle
5466,بطانة,Batâne
5467,بطانة,Bitâne
5468,بطبقه,Bitıpkıhî
5469,بطح,Bath
5470,بطريق,Betarîk
5471,بطريق,Bıtrîk
5472,بطش,Batş
5473,بطغ,Batğ
5474,بطلان,Butlân
5475,بطم,Butum
5476,بطن,Batn
5477,بطن,Batan
5478,بطنان,Batnân
5479,بطنپرست,Batınperest
5480,بطنه,Bıtne
5481,بطول,Butûl
5482,بطولة,Butûle
5483,بطون,Butûn
5484,بطیٔ,Batî
5485,بطيح,Batîh
5486,بطيخ,Bıttîh
5487,بطير,Batîr
5488,بطيطيه,Butaytiyye
5489,بطين,Butayn
5490,بطيش,Batîş
5491,بظر,Bazir
5492,بظر,Bazar
5493,بظارة,Buzâre
5494,بعاد,Bu'âd
5495,بعاق,Bu'âk
5496,بعال,Bi'âl
5497,بعث,Ba's
5498,بعثره,Ba'sere
5499,بعثة,Bi'se
5500,بعد,Ba'd
5501,بودوقت,Ba'devakt
5502,بعد,Bu'd
5503,بعدبعد,Ba'debu'din
5504,بعدازين,Ba'deezîn
5505,بعده,Ba'dehu
5506,بعد,Bi'd
5507,بعر,Ba'r
5508,بعض,Ba'zı
5509,بعل,Ba'l
5510,بعلة,Ba'le
5511,بعوضه,Ba'ûza
5512,بعولة,Bu'ûle
5513,بعون,Biavn
5514,بعيد,Ba'îd
5515,بعير,Ba'îr
5516,بعينه,Bi'aynihi
5517,بغاء,Buğâ
5518,بغاء,Biğâ
5519,بغات,Buğğât
5520,بغال,Biğâl
5521,بغال,Bağğâl
5522,بغام,Buğâm
5523,بغاوة,Beğâve
5524,بغايت,Beğâyet
5525,بغايه,Beğâye
5526,بغبور,Buğbûr
5527,بغتة,Bağteten
5528,بغثره,Bağsera
5529,بغره,Beğara
5530,بغض,Buğz
5531,بغضاء,Bağzâ
5532,بغضی,Buğzâ
5533,بغل,Bağl
5534,بغل,Beğal
5535,بغلكيری,Beğalgîrî
5536,بغو,Bağv
5537,بغی,Bağy
5538,بغی,Bağiyy
5539,بغيان,Buğyân
5540,بغير,Biğayr
5541,بغيه,Buğye
5542,بقاء,Bekâ
5543,بقار,Bakkâr
5544,بقاع,Bukâ'
5545,بقال,Bakkâl
5546,بقايا,Bekâyâ
5547,بقر,Bakar
5548,بقره,Bakara
5549,بقعه,Buk'a
5550,بقعةالقرنية,Buk'atu'l    Karniyye
5551,بقله,Bakla
5552,بقلةالحمقاء,Baklatü'l    Humekâ
5553,بقم,Bakkam
5554,بقور,Bukûr
5555,بقول,Bukûl
5556,بقه,Bakka
5557,بقی,Baky
5558,بقیه,Bakiyye
5559,بقیةالسيوف,Bakiyyetü's    Suyûf
5560,بكاء,Bukâ
5561,بكاة,Bükkât
5562,بكا,Begâ
5563,بكام,Bekâm
5564,بكارة,Bekâre
5565,بكامة,Bekâme
5566,بكت,Bekt
5567,بكر,Bikir
5568,بكره,Bekre
5569,بكروی,Bekrevî
5570,بكره,Bukra
5571,بكری,Bekrî
5572,بكور,Bukûr
5573,بكوری,Bekûrî
5574,بكورية,Bekûriyye
5575,بكل,Bekil
5576,بكم,Bekm
5577,بكم,Bükm
5578,بكة,Bekke
5579,بكی,Bekiyy
5580,بكزاد,Beyzâd
5581,بل,Bel
5582,بل,Bell
5583,بلاء,Belâ
5584,بلا,Bilâ
5585,بلاته,Belâte
5586,بلاحة,Belâha
5587,بلاد,Bilâd
5588,بلاذة,Belâde
5589,بلاده,Belâdih
5590,بلازده,Belâzede
5591,بلاس,Belâs
5592,بلاس,Bellâs
5593,بلاط,Balât
5594,بلاغ,Belâğ
5595,بلاغت,Belâğat
5596,بلاكش,Belâkeş
5597,بلال,Bilâl
5598,بلالة,Bülâle
5599,بلاهة,Belâhe
5600,بلايا,Belâyâ
5601,بلبال,Belbâl
5602,بلباله,Belbâle
5603,بلبل,Bülbül
5604,بلبله,Bülbüle
5605,بلبله,Belbele
5606,بلت,Belt
5607,بلج,Belec
5608,بلد,Beled
5609,بلدان,Büldân
5610,بلدم,Beldem
5611,بلده,Belde
5612,بلدی,Beledî
5613,بلديه,Belediyye
5614,بلسان,Belesân
5615,بلطه,Bulta
5616,بلظفه,Bilutfihi
5617,بلع,Bel'
5618,بلعوم,Bel'ûm
5619,بلعه,Bül'a
5620,بلعمه,Bel'ame
5621,بلغاء,Buleğâ
5622,بلغار,Bulğâr
5623,بلغم,Balğam
5624,بلغمی,Balğamî
5625,بلغور,Bulğûr
5626,بلكه,Belki
5627,بلند,Bülend
5628,بلنداختر,Bülendahter
5629,بلندالقتدار,Bülendiktidâr
5630,بلندمرنبه,Bülendmernebe
5631,بلندهمت,Bülendhimmet
5632,بلق,Balk
5633,بلقاء,Belkâ
5634,بلو,Belv
5635,بلوة,Belve
5636,بلوی,Belvâ
5637,بله,Beleh
5638,بلور,Billûr
5639,بلوط,Belût
5640,بلوع,Belû'
5641,بلوع,Bulû'
5642,بلوغ,Bulûğ
5643,بلوغية,Bulûğiyye
5644,بلهاء,Belhâ
5645,بلی,Belâ
5646,بلی,Beliyy
5647,بلیات,Beliyyât
5648,بليت,Belît
5649,بليه,Beliyye
5650,بليد,Belîd
5651,بليغ,Belîğ
5652,بم,Bem
5653,بمعناه,Bima'nâhu
5654,بمهر,Bemühr
5655,بن,Bin
5656,بن,Bün
5657,بن,Bünn
5658,بناء,Binâ
5659,بناء,Bennâ
5660,بناء,Binâen
5661,بناءعليه,Binâenaleyh
5662,بناءعلیهذا,BinâenAlâHâzâ
5663,بنابرين,Binâberîn
5664,بنات,Benât
5665,بناتاللحم,Benâtu'l    Lahm
5666,بناتنغش,Benât    iNa'ş
5667,بناتالصدر,Benâtü's    Sadr
5668,بناتالدهر,Benâtü'd    Dehr
5669,بناتالارض,Benâtü'l    Arz
5670,بناتالرشدة,Benâtü'r    Rüşde
5671,بنادر,Benâdir
5672,بنادق,Benâdik
5673,بناكوش,Binâgûş
5674,بنام,Benâm
5675,بنان,Benân
5676,بنانه,Benâne
5677,بناور,Bünâver
5678,بنت,Bint
5679,بنتی,Bintî
5680,بنتالعنب,Bintü'l    İneb
5681,بنج,Benc
5682,بند,Bend
5683,بندر,Bender
5684,بندركاه,Bendergâh
5685,بندق,Bunduk
5686,بندقه,Bunduka
5687,بندكان,Bendegân
5688,بندكی,Bendegî
5689,بنده,Bende
5690,بندهپرور,Bendeperver
5691,بندهخانه,Bendehâne
5692,بندهزاده,Bendezâde
5693,بنديده,Bendîde
5694,بندهنواز,Bendenüvâz
5695,بنس,Bens
5696,بنش,Benş
5697,بنصر,Binsır
5698,بنفسج,Benefsec
5699,بنفسه,Binefsihî
5700,بنفشه,Benefşe
5701,بنك,Beng
5702,بنكاه,Bengâh
5703,بنكره,Bengere
5704,بنكی,Bengî
5705,بنك,Bünk
5706,بنو,Benû
5707,بنوة,Bünuvve
5708,بنود,Benûd
5709,بنون,Benûn
5710,بنوی,Benevî
5711,بنه,Benne
5712,بنی,Benî
5713,بنياد,Bünyâd
5714,بنيان,Bünyân
5715,بنين,Benîn
5716,بنيه,Bünye
5717,بو,Bû
5718,بوا,Bevâ
5719,بواء,Bevâ
5720,بواب,Bevvâb
5721,بوابته,Bevâbe
5722,بوابی,Bevvâbî
5723,بواح,Bevâh
5724,نباحا,Bevâhan
5725,بوادی,Bevâdî
5726,بوار,Bevâr
5727,بوارد,Bevârid
5728,بوارق,Bevârik
5729,بواری,Bevârî
5730,بواسير,Bevâsîr
5731,بوال,Buvâl
5732,بوالعجب,Bu'l    Aceb
5733,بوالفضوك,Bu'l    Fuzûl
5734,بوالهوس,Bu'l    Heves
5735,بؤبؤ,Bubu
5736,بوته,Bûte
5737,بود,Bûd
5738,بور,Bûr
5739,بورق,Bûrak
5740,بورو,Boru
5741,بوروزن,Boruzen
5742,بوريا,Bûriyâ
5743,بورياباف,Bûr    iYâbâk
5744,بوزه,Bûze
5745,بوزينه,Bôzîne
5746,بوس,Bûs
5747,بوستان,Bostân
5748,بوسكاه,Bosgâh
5749,بوسيده,Bûsîde
5750,بوش,Bûş
5751,بوص,Bûs
5752,بوصی,Bûsî
5753,بوطقه,Bûtka
5754,بوع,Bû'
5755,بوق,Bûk
5756,بوق,Bevak
5757,بوقلمون,Bukalemûn
5758,بول,Bevl
5759,بوله,Bevle
5760,بوم,Bûm
5761,بومه,Bûme
5762,بوه,Bûh
5763,بون,Bûn
5764,بوی,Bûy
5765,به,Bih
5766,به,Bihî
5767,بها,Behâ
5768,بهاء,Behâ
5769,بهاجه,Behâce
5770,بها,Bihâ
5771,بوصير,Bûsîr
5772,بهادر,Bahâdır
5773,بهادرانه,Bahâdırâne
5774,بهادری,Bahâdırî
5775,بهار,Bahâr
5776,بهار,Behâr
5777,بهارة,Behâre
5778,بهاۀستان,Bahâristân
5779,بهاری,Bahârî
5780,بهاكير,Behâgîr
5781,بهام,Bihâm
5782,بهانه,Behâne
5783,بهامة,Behâme
5784,بهايم,Behâyim
5785,بهبود,Bihbûd
5786,بهت,Büht
5787,بهتان,Bühtân
5788,بهتر,Bihter
5789,بهترين,Bihterîn
5790,بهج,Behc
5791,بهج,Bihc
5792,بهجة,Behce
5793,بهر,Buhr
5794,بهر,Behr
5795,بهره,Behre
5796,بهرهدار,Behredâr
5797,بهرهمند,Behremend
5798,بهرجة,Behrece
5799,بهز,Behz
5800,بهزاد,Bihzâd
5801,بهشت,Behişt
5802,بهشتنشين,Behişnîşîn
5803,بهتی,Behiştî
5804,بهش,Behş
5805,بهق,Bahk
5806,بهل,Behl
5807,بهلول,Behlûl
5808,بهم,Behm
5809,بهم,Behem
5810,بهمزده,Behemzede
5811,بهمة,Bühme
5812,بهنة,Behne
5813,بهئوة,Behve
5814,بهی,Behiyy
5815,بهيته,Behîte
5816,بهيج,Behîc
5817,بهيره,Behîre
5818,بهيم,Behîm
5819,بهيمة,Behîme
5820,بهيمی,Behîmî
5821,بهيميت,Behîmiyyet
5822,بهين,Bihîn
5823,بهينه,Behîne
5824,بی,Bî
5825,بیاب,Beyyâb
5826,بیابان,Beyâbân
5827,بياباننشين,Beyâbânnişîn
5828,بیختيار,Bîihtiyâr
5829,بیاختياری,Bîihtiyârî
5830,بیادب,Bîedeb
5831,بیاديانه,Bîedebâne
5832,بیآرام,Bîârâm
5833,بياض,Beyâz
5834,بياضته,Beyâza
5835,بياع,Beyyâ'
5836,بياع,Biyâ'
5837,بياعة,Biyâ'a
5838,بياكالله,Beyyâkellah
5839,بیامان,Bîemân
5840,بيان,Beyân
5841,بیانداز,Bîendâz
5842,بیيمان,Bîîmân
5843,بیب,Beyb
5844,بيباك,Bîbâk
5845,بيبصيرت,Bîbasîret
5846,بيبهره,Bîbehre
5847,بیپايان,Bîpâyân
5848,بيپرده,Bîperde
5849,بيپروا,Bîpervâ
5850,بيت,Beyt
5851,بيتا,Bîtâ
5852,بيتاب,Bîtâb
5853,بيتابانه,Bîtâbâne
5854,بيتات,Bîtât
5855,بيتوتة,Beytûte
5856,بيجان,Bîcân
5857,بيجواب,Bîcevâb
5858,بيچاره,Bîçâre
5859,بيچون,Bîçûn
5860,بيحاصل,Bîhâsıl
5861,بيحان,Beyhân
5862,بيحجاب,Bîhicâb
5863,بيحد,Bîhad
5864,بیحساب,Bîhisâb
5865,بیحضور,Bîhuzûr
5866,بیخ,Bîh
5867,بیخانمان,Bîhânemân
5868,بیخبر,Bîhaber
5869,بیخرد,Bîhirad
5870,بیخزان,Bîhazân
5871,بیخواب,Bîhâb
5872,بیخود,Bîhûd
5873,بید,Beyd
5874,بید,Bîd
5875,بیداء,Beydâ
5876,بیداد,Bîdâd
5877,بیدادكر,Bîdadger
5878,بیدار,Bîdâr
5879,بیداريخت,Bîdârbaht
5880,بيداردل,Bîdârdil
5881,بیدای,Bîdârî
5882,بیداق,Beydâk
5883,بیدانش,Bîdânış
5884,بیدخ,Beydah
5885,بیدرنك,Bîderenk
5886,بیدزيغ,Bîdezîğ
5887,بیدستر,Bîdester
5888,بیدين,Bîdîn
5889,بیدودة,Beydûde
5890,بیر,Bîr
5891,بئر,Bi'r
5892,بیراق,Bayrak
5893,بیراقدار,Bayrakdâr
5894,بیرام,Bayrâm
5895,بیراد,Beyrâd
5896,بیراه,Bîrâh
5897,بیرای,Bîrey
5898,بیرنك,Bîrenk
5899,بیرو,Bîrû
5900,بیروز,Bîrûz
5901,بیروزج,Bîrûzec
5902,بیروزه,Bîrûze
5903,بیروزی,Bîrûzî
5904,بیرون,Bîrûn
5905,بیريا,Bîriyâ
5906,بیريب,Bîrayb
5907,بیز,Bîz
5908,بیزار,Bîzâr
5909,بیزاری,Bîzârî
5910,بیزبان,Bîzebân
5911,بیزبانی,Bîzebânî
5912,بیزر,Bîzer
5913,بیزوال,Bîzevâl
5914,بئس,Bi's
5915,بیس,Beys
5916,بیساز,Bîsâz
5917,بیسامان,Bîsâmân
5918,بیسان,Bîsân
5919,بیست,Bîst
5920,بیستون,Bîsütûn
5921,بیسر,Bîser
5922,بیسروپا,Bîserûpâ
5923,بیسروسامان,BîserüSâmân
5924,بیش,Bîş
5925,بیش,Beyş
5926,بیشائبه,Bîşâibe
5927,بیشبهه,Bîşübhe
5928,بیشك,Bîşek
5929,بیشك,r    Bîşükür
5930,بیشكيب,Bîşekîb
5931,بیشمار,Bîşümâr
5932,بیشه,Bîşe
5933,بیض,Bîz
5934,بيصاء,Beyzâ
5935,بيضه,Beyza
5936,بيضه,Bîza
5937,بيضوی,Beyzavî
5938,بیضی,Beyzî
5939,بیطار,Beytâr
5940,بیطاقة,Bîtaka
5941,بيع,Bey'
5942,بيعبات,Bey'iBât
5943,بيعباطل,Bey'iBâtıl
5944,بيعباالاشتغلال,Bey'iBi'l    İstiğlâl
5945,بيعبالوفا,Bey'iBi'l    Vefâ
5946,بيعصحيح,Bey'iSahîh
5947,بيعغيرمنعقد,Bey'iGayriMünakid
5948,بيعغيرلازم,Bey'iGayrıLazım
5949,بيعفاسد,Bey'iFâsid
5950,بيعفضولی,Bey'iFuzûlî
5951,بيعلازم,Bey'iLâzım
5952,بيعصرف,Bey'iSarf
5953,بيعمقايضه,Bey'iMukâyaza
5954,بيعمنعقد,Bey'iMun'akid
5955,بيعموقوف,Bey'iMevkûf
5956,بيعنافذ,Bey'iNâfiz
5957,بيعتة,Bî'at
5958,بيغايه,Bîğâye
5959,بيغرض,Bîğaraz
5960,بيغرضانه,Bîğarazâne
5961,بيغور,Bîğavr
5962,بيفائده,Bîfâide
5963,بيقرار,Bîkarâr
5964,بيقياس,Bîkıyâs
5965,بيقيد,Bîkayd
5966,بيكار,Bîkâr
5967,بيكاره,Bîkâre
5968,بيكام,Bîkâm
5969,بيكاه,Bîgâh
5970,بيكس,Bîkes
5971,بیكموكاست,BîkemüKâst
5972,بیكانكی,Bîgânegî
5973,بیكانه,Bîgâne
5974,بیكانهزاده,Bîgânezâde
5975,بیكران,Bîgirân
5976,بیكمان,Bîgümân
5977,بیكناه,Bîgünâh
5978,بیل,Bîl
5979,بیلسان,Beylesân
5980,بیم,Bîm
5981,بیلم,Beylem
5982,بیمار,Bîmâr
5983,بیمارخانه,Bîmârhâne
5984,بیماری,Bîmârî
5985,بیمارشتان,Bîmâristân
5986,بیمیئال,Bîmeâl
5987,بیمثال,Bîmisâl
5988,بیمجال,Bîmecâl
5989,بیمحابا,Bîmuhâyâ
5990,بیمعنا,Bîma'nâ
5991,بیمغز,Bîmağz
5992,بیكان,Bîmekân
5993,بیمنت,Bîminnet
5994,بین,Beyn
5995,بینالناس,Beyne'n    Nâs
5996,بینالاقران,Beyne'l    Akrân
5997,بین,Beyyin
5998,بینبين,BeyneBeyne
5999,بین,Bîn
6000,بینا,Bînâ
6001,بینا,Beyyinen
6002,بیناب,Bînâb
6003,بینام,Bînam
6004,بیناموس,Bînâmûs
6005,بینايی,Bînâyî
6006,بینة,Beyyine
6007,بینش,Bîniş
6008,بینصيب,Bînasîb
6009,بینظير,Bînazîr
6010,بینمك,Bînemek
6011,بیننده,Bînende
6012,بینوا,Bînevâ
6013,بینونة,Beynûne
6014,بینهايه,Bînihâye
6015,بینهما,Beynehümâ
6016,بینهم,Beynehüm
6017,بینی,Bînî
6018,بینياز,Bîniyâz
6019,بیواره,Bîvâre
6020,بیوايه,Bîvâye
6021,بیوت,Buyût
6022,بیور,Bîver
6023,بیوع,Buyû'
6024,بیوفا,Bîvefâ
6025,بیوقت,Bîvakt
6026,بیوقوف,Bîvukûf
6027,بیوه,Bîve
6028,بیوهزن,Bîvezen
6029,بیهمال,Bîhumâl
6030,بیهمتا,Bîhemtâ
6031,بیهنر,Bîhüner
6032,بیهنكام,Bîhengâm
6033,بیهودكی,Bîhudegî
6034,بیهوده,Bîhûde
6035,بیهده,Bîhude
6036,بیهوش,Bîhûş
6037,بيئس,Beîs
6038,بيئة,Bîe
6039,بييض,Buyeyz
6040,پ,
6041,پا,Pâ
6042,پابرجا,Pâbercâ
6043,پابسترك,Pâbesterk
6044,پايسته,Pâbeste
6045,پابند,Pâbend
6046,پاپوس,Pâpûs
6047,پاپوسی,Pâpûsî
6048,پاپوش,Pâpûş
6049,پاتون,Pâtûn
6050,پاتله,Pâtîle
6051,پاچاهه,Pâçâhe
6052,پاچه,Pâçe
6053,پاچيله,Pâçîle
6054,پاخره,Pâhra
6055,پاچنك,Pâçenk
6056,پاچوك,Pâçûk
6057,پاخوست,Pâhost
6058,پاد,Pâd
6059,پادار,Pâdâr
6060,پاداش,Pâdâş
6061,پاذافراه,Pâdefrâh
6062,پادرعقال,Pâder'ikâl
6063,پادزهر,Pâderzehr
6064,پادام,Pâdam
6065,پادشا,Pâdşâ
6066,پادشاه,Pâdşâh
6067,پادشاهانه,Pâdşâhâne
6068,پادشاهی,Pâdşâhî
6069,پادشه,Pâdşe
6070,پادكانه,Pâdgâne
6071,پار,Pâr
6072,پاراو,Pârâv
6073,پارد,Pârd
6074,پاردو,Pârdo
6075,پارچه,Pârça
6076,پارزده,Pârzede
6077,پارس,Pârs
6078,پارسا,Pârsâ
6079,پارسال,Pârsâl
6080,پاركی,Pârkî
6081,پارنج,Pârinc
6082,پاروب,Pârob
6083,پارود,Pârod
6084,پارودن,Pâroden
6085,پاروله,Pârola
6086,پاره,Pâre
6087,پارهدوز,Pâredôz
6088,پارهكاه,Pâregâh
6089,پارياب,Pâryâb
6090,پاريز,Pârîz
6091,پارين,Pârîn
6092,پازاج,Pâzâc
6093,پازار,Pâzâr
6094,پازبا,Pâzbâ
6095,پازخ,Pâzah
6096,پازده,Pâzede
6097,پازكر,Pâzge
6098,پازن,Pâzen
6099,پازند,Pâzend
6100,پازهر,Pâzehr
6101,پازير,Pâzîr
6102,پازيره,Pâzîre
6103,پاژير,Pâjîr
6104,پاسار,Pâsâr
6105,پاسبان,Pâsbân
6106,پاسبانی,Pâsbânî
6107,پاسنك,Pâsebük
6108,پاسپار,Pâspâr
6109,پاسپر,Pâsper
6110,پاسخ,Pâsuh
6111,پاسدر,Pâsdâr
6112,پاسك,Pâsek
6113,پاسوار,Pâsuvâr
6114,پاسوان,Pâsvân
6115,پاسی,Pâsî
6116,پاش,Pâş
6117,پاشنا,Pâşnâ
6118,پاشنه,Pâşne
6119,پاشنك,Pâşenk
6120,پاشنين,Pâşinîn
6121,پاشيب,Pâşîb
6122,پاشيده,Pâşîde
6123,پاغر,Pâğr
6124,پاغبد,Pâğend
6125,پاغوش,Pâğûş
6126,پافرسود,Pâfersûd
6127,پاك,Pâk
6128,پاكابوی,Pâgâbûy
6129,پاكاری,Pâkârî
6130,پاكاه,Pâgâh
6131,پاكبار,Pâkbâr
6132,پاكپاز,Pâkpâz
6133,پاكدامن,Pâkdâmen
6134,پاكند,Pâgend
6135,پاكوب,Pâkûb
6136,پاكی,Pâkî
6137,پاكيزه,Pâkîze
6138,پالا,Pâlâ
6139,پالاد,Pâlâd
6140,پالار,Pâlâr
6141,پالاس,Pâlâs
6142,پالان,Pâlân
6143,پالاندوز,Pâlândoz
6144,پالانی,Pâlânî
6145,پالاوان,Pâlâvân
6146,پالهنك,Pâlhenk
6147,پالایاسب,Pâlây    ıEsb
6148,پالدم,Pâldüm
6149,پالكانه,Pâlgâne
6150,پالنك,Pâlenk
6151,پالوازه,Pâlvâze
6152,پالواسه,Pâlvâse
6153,پالوانه,Pâlvâne
6154,پالبد,Pâlûd
6155,پالوده,Pâlûde
6156,پالوش,Pâlûş
6157,پاليز,Pâlîz
6158,پامال,Pâmâl
6159,پامزد,Pâmüzd
6160,پانزده,Pânzede
6161,پانصد,Pânsad
6162,پانهاده,Pânihâde
6163,پانيد,Pânîd
6164,پای,Pây
6165,پاياب,Pâyâb
6166,پايان,Pâyân
6167,پایاداز,Pâyendâz
6168,پایباف,Pâybâz
6169,پایبست,Pâybest
6170,پایبسته,Pâybeste
6171,پایبند,Pâybend
6172,پایپوسی,Pâypûsî
6173,پایپوش,Pâypûş
6174,پایتخت,Pâyitaht
6175,پايدار,Pâydâr
6176,پايخست,Pâyhast
6177,پايدام,Pâydâm
6178,پايزار,Pâyzâr
6179,پايست,Pâyist
6180,پايشور,Pâyşûr
6181,پایشيب,Pâyşîb
6182,پایكار,Pâykâr
6183,پایكوب,Pâykûb
6184,پايمال,Pâymâl
6185,پايمزد,Pâymüzd
6186,پايندان,Pâyendân
6187,پايندكان,Pâyendegân
6188,پايوند,Pâyvend
6189,پاينده,Pâyende
6190,پايه,Pâye
6191,پتر,Petr
6192,پتفوز,Petfûz
6193,پتك,Petk
6194,پتكير,Petgîr
6195,پتير,Petîr
6196,پچشك,Puçuşk
6197,پچواك,Peçvâk
6198,پچوه,Peçve
6199,پچته,Puhte
6200,پختی,Puhtî
6201,پخچود,Pehçûd
6202,پخس,Pahş
6203,پداسيا,Pedâsiyâ
6204,پدر,Peder
6205,پدراندر,Pederender
6206,پدمه,Pedme
6207,پده,Pede
6208,پديد,Pedîd
6209,پديدار,Pedîdâr
6210,پدير,Pedîr
6211,پدير,Pezîr
6212,پذيرا,Pezîrâ
6213,پذيرش,Pezîriş
6214,پذيره,Pezîre
6215,پر,Per
6216,پر,Pür
6217,پرازده,Perâzde
6218,پراكنده,Perâkende
6219,پران,Perân
6220,پرپايه,Pürpâye
6221,پربار,Pürbâr
6222,پرتاب,Pürtâb
6223,پرتاؤ,Pertâv
6224,پرتو,Pertev
6225,پرتوافشان,Pertevefşân
6226,پرتوانداز,Pertevendâz
6227,پرچم,Perçem
6228,پرچين,Berçîn
6229,پرخ,Perh
6230,پرخاش,Perhâs
6231,پرخاشجو,Perhâşcû
6232,پرخاشخواه,Perhâşuhâh
6233,پرخاشخر,Perhâşihr
6234,پرداخت,Perdâht
6235,پرداخته,Perdâhte
6236,پردا,Perdâ
6237,پرداز,Perdâz
6238,پردازی,Perdâzî
6239,پردكی,Perdegî
6240,پردك,Perdek
6241,پرده,Perde
6242,پردبرانداز,Perdeberendâz
6243,پردهچغانه,Perde    iÇağâne
6244,پردهٔخرم,Perde    iHurrem
6245,پردهدار,Perdedâr
6246,پردهدر,Perdeder
6247,پردهسرا,Perdeserâ
6248,پردهسرای,Perdesarây
6249,پردهشناس,Perdeşinâs
6250,پردهكش,Perdekeş
6251,پردهكار,Perdekâr
6252,پردهنشين,Perdenişîn
6253,پرز,Pürz
6254,پرژك,Pürjek
6255,پرساله,Pürsâle
6256,پرسان,Pürsân
6257,پرست,Perest
